aX,aY,aZ,gX,gY,gZ
0.110,-0.619,2.220,-67.627,-37.781,5.005
0.125,-0.675,2.442,-121.643,-24.719,10.132
0.224,-0.683,2.558,-178.955,9.766,21.851
0.268,-0.645,2.530,-259.155,-5.676,41.077
0.298,-0.633,2.224,-307.678,-31.921,50.964
0.243,-0.579,1.609,-406.128,-85.571,73.608
0.176,-0.492,1.219,-488.525,-114.197,93.750
0.067,-0.206,0.367,-510.071,-118.042,98.022
0.024,-0.076,-0.064,-490.356,-128.479,81.848
-0.019,0.020,-0.667,-448.914,-135.925,60.852
0.003,0.089,-0.830,-366.516,-149.841,22.217
0.001,0.307,-1.001,-341.003,-148.132,11.536
-0.082,0.484,-1.212,-304.016,-104.370,11.597
-0.148,0.549,-1.312,-288.452,-65.613,18.188
-0.269,0.658,-1.518,-247.314,30.762,31.311
-0.321,0.704,-1.609,-164.124,89.539,30.579
-0.419,0.759,-1.584,-99.182,78.491,24.109
-0.489,0.737,-1.460,28.931,8.057,6.836
-0.610,0.665,-1.132,68.054,-9.644,0.244
-0.595,0.677,-1.021,106.262,16.968,-3.662
-0.483,0.775,-0.845,118.835,40.771,-7.202
-0.422,0.806,-0.762,150.696,68.359,-21.729
-0.354,0.793,-0.592,168.152,67.261,-28.442
-0.354,0.744,-0.516,200.928,52.246,-32.837
-0.367,0.627,-0.354,218.567,46.692,-34.790
-0.354,0.560,-0.235,254.089,52.307,-43.640
-0.265,0.463,0.049,268.188,69.824,-47.485
-0.213,0.416,0.172,287.903,108.826,-55.786
-0.147,0.214,0.353,297.546,122.864,-64.270
-0.106,0.093,0.456,324.341,134.644,-88.013
0.011,-0.116,0.750,338.989,132.446,-98.267
0.107,-0.188,0.962,365.173,127.747,-108.154
0.372,-0.249,1.467,364.990,115.112,-105.530
0.489,-0.266,1.813,316.895,61.340,-88.562
0.453,-0.270,1.792,273.437,26.001,-78.247
0.323,-0.310,1.615,206.787,-35.522,-70.496
0.262,-0.348,1.550,182.251,-71.106,-69.946
0.233,-0.230,1.562,163.513,-62.317,-58.960
0.231,-0.127,1.547,113.953,-10.681,-27.710
0.222,-0.021,1.481,91.431,8.606,-16.174
0.206,0.005,1.443,64.148,12.756,-2.991
0.116,0.039,1.335,61.096,2.197,-3.906
0.068,0.035,1.294,62.317,-25.269,-17.944
0.057,0.181,1.368,58.899,-34.180,-22.034
0.094,0.389,1.794,69.092,-45.532,-29.297
0.075,-0.233,1.832,63.782,-58.960,-25.208
-0.045,-0.331,1.182,-24.841,-35.217,20.081
-0.084,0.247,0.705,-28.503,-1.770,25.269
-0.009,0.302,0.804,15.869,17.456,14.160
-0.056,0.121,0.930,22.583,3.784,13.428
-0.104,0.053,0.920,13.855,-17.334,6.775
-0.107,0.038,1.070,9.644,-18.738,2.197
-0.094,-0.002,1.131,5.798,-16.357,3.052
-0.084,-0.036,1.054,-0.427,-9.583,5.554
-0.057,0.007,0.997,-7.446,5.005,5.981
-0.008,0.063,0.954,-4.944,3.418,5.249
-0.009,0.051,0.975,2.319,-6.653,2.563
-0.013,0.016,1.037,3.174,-10.071,1.282
-0.029,0.015,1.028,-0.671,-11.108,2.380
-0.044,0.029,1.011,-2.930,-9.033,4.761
-0.082,0.046,0.983,-4.944,0.061,9.033
-0.086,0.052,0.998,-3.540,5.798,9.094
-0.079,0.069,1.003,-2.991,0.732,7.996
-0.081,0.055,0.990,0.244,-7.568,2.869
-0.052,0.048,1.020,-0.305,-4.639,0.427
-0.024,0.057,1.029,-6.409,2.441,2.319
-0.001,0.067,0.990,-7.812,3.052,5.127
-0.016,0.057,0.979,-4.944,2.869,5.920
-0.038,0.046,1.024,-4.333,2.502,4.822
-0.040,0.058,1.028,-6.165,-2.014,6.226
-0.056,0.084,0.977,-5.249,-3.418,7.263
-0.063,0.075,0.977,0.183,-0.671,7.263
-0.072,0.060,1.020,0.488,0.305,7.507
-0.067,0.065,1.022,-1.770,-1.282,9.155
-0.055,0.074,0.995,-1.587,-2.563,10.254
-0.063,0.064,0.985,1.038,-0.977,9.155
-0.077,0.041,0.998,2.136,2.075,6.653
-0.073,0.040,1.016,2.014,3.113,0.793
-0.063,0.059,1.011,0.427,1.160,-0.854
-0.056,0.069,0.995,-1.770,0.793,-1.160
-0.046,0.065,0.998,-1.343,2.014,-0.610
-0.041,0.058,1.006,0.366,1.587,-0.305
-0.036,0.059,0.998,1.221,-0.977,-0.488
-0.044,0.072,0.997,2.380,-3.967,-0.305
-0.046,0.074,1.006,2.136,-3.296,0.549
-0.059,0.069,1.011,0.977,-2.197,2.747
-0.061,0.065,1.007,0.671,-1.343,2.625
-0.054,0.058,1.003,0.732,0.427,1.099
-0.051,0.055,1.003,0.549,0.793,0.366
-0.046,0.054,1.005,0.244,-0.793,-0.061
-0.047,0.055,0.998,0.610,-2.869,0.244
-0.057,0.065,1.000,1.343,-3.540,0.793
-0.052,0.068,1.007,1.099,-1.587,1.099
-0.052,0.070,1.001,0.183,-0.610,2.136
-0.057,0.062,1.000,0.793,-0.732,2.258
-0.056,0.056,1.007,1.526,0.305,2.075
-0.054,0.052,1.001,1.282,-0.549,2.197
-0.059,0.050,0.998,1.343,-2.014,1.770
-0.062,0.052,0.997,1.343,-0.793,0.732
-0.061,0.053,1.001,2.197,0.549,-0.977
-0.060,0.058,1.017,1.953,-0.488,-1.099
-0.054,0.062,1.003,-1.038,0.183,-0.183
-0.052,0.063,0.992,-1.831,1.465,0.549
-0.064,0.056,0.995,0.122,1.343,0.610
-0.068,0.057,1.004,1.343,0.854,-0.305
-0.066,0.065,1.005,2.197,0.244,-1.892
-0.063,0.068,1.001,1.770,0.732,-2.136
-0.051,0.064,1.003,1.587,1.648,-2.258
-0.035,0.052,1.008,1.587,-0.305,-1.892
-0.038,0.047,1.003,0.732,-1.953,-0.916
-0.050,0.049,0.999,0.427,-0.366,-0.488
-0.055,0.056,0.994,0.977,1.587,-0.671
-0.056,0.057,0.995,4.456,-2.869,-2.563
-0.063,0.061,1.015,4.822,-5.066,-3.052
-0.066,0.062,1.013,2.075,-2.075,-2.197
-0.055,0.060,1.008,1.038,0.793,-1.526
-0.048,0.058,1.010,-0.305,1.648,0.000
-0.046,0.051,1.000,-0.366,0.427,0.671
-0.051,0.049,0.995,1.282,-1.770,0.671

0.072,-0.666,2.298,-93.689,30.151,16.113
0.143,-0.685,2.486,-130.981,19.043,12.268
0.200,-0.606,2.549,-163.269,-2.625,10.620
0.188,-0.559,2.354,-258.911,-43.579,13.550
0.146,-0.464,1.715,-308.167,-57.617,20.752
0.066,-0.331,1.056,-370.422,-75.500,37.231
0.022,-0.240,0.762,-383.850,-80.078,41.260
-0.049,-0.008,0.337,-386.963,-85.815,37.354
-0.031,0.136,0.237,-374.634,-89.966,31.982
0.053,0.281,0.196,-328.735,-109.009,21.606
0.077,0.290,0.169,-310.059,-121.216,16.663
0.083,0.306,0.100,-300.171,-124.939,14.893
-0.022,0.399,-0.170,-302.429,-107.239,19.409
-0.135,0.505,-0.488,-297.241,-35.461,23.926
-0.158,0.560,-0.609,-264.771,17.334,23.865
-0.225,0.647,-0.861,-239.929,22.766,24.414
-0.277,0.669,-0.984,-187.439,8.667,21.301
-0.386,0.758,-1.146,-161.255,-1.648,20.020
-0.454,0.830,-1.168,-101.196,-9.827,21.606
-0.554,0.870,-1.110,-66.589,-3.845,18.127
-0.569,0.828,-1.073,-5.066,14.038,5.920
-0.531,0.811,-0.983,23.743,15.991,0.854
-0.495,0.830,-0.903,85.510,2.136,-9.155
-0.402,0.827,-0.713,111.267,-3.479,-12.573
-0.365,0.829,-0.636,145.508,-8.423,-10.193
-0.370,0.847,-0.515,159.058,-10.193,-6.897
-0.397,0.834,-0.447,184.814,1.526,-5.615
-0.401,0.756,-0.274,195.801,19.409,-8.423
-0.372,0.715,-0.175,214.355,55.603,-17.273
-0.276,0.655,-0.009,220.215,65.125,-22.400
-0.221,0.627,0.038,228.821,62.561,-27.649
-0.184,0.528,0.110,236.694,53.589,-27.344
-0.191,0.429,0.176,261.597,53.833,-27.710
-0.143,0.204,0.384,275.024,67.566,-28.992
-0.099,0.114,0.519,303.650,85.754,-36.194
-0.022,-0.067,0.798,317.810,84.595,-41.382
0.049,-0.100,0.987,328.674,93.872,-45.288
0.276,-0.124,1.409,326.599,102.112,-41.931
0.322,-0.316,1.636,295.532,87.646,-25.330
0.257,-0.397,1.639,242.065,54.504,-6.104
0.142,-0.459,1.554,213.318,40.161,-6.897
0.153,-0.427,1.537,160.217,23.376,-14.099
0.177,-0.212,1.497,135.864,9.705,-15.869
0.141,-0.101,1.436,93.933,-30.396,-19.470
0.039,-0.087,1.283,82.153,-39.124,-18.433
0.013,-0.105,1.266,75.500,-1.587,-6.531
-0.004,-0.132,1.489,83.496,33.081,3.174
0.020,-0.187,1.771,119.263,92.041,20.447
0.068,-0.087,2.294,124.023,103.577,21.057
0.101,-0.008,2.185,16.296,33.691,-0.305
-0.018,0.022,1.315,-44.128,-26.489,-10.681
-0.099,0.041,0.921,-47.485,-103.577,-31.982
-0.146,0.151,0.598,-25.085,-103.027,-40.955
-0.026,0.212,0.616,-2.808,-47.607,-31.616
0.018,0.164,0.664,0.488,-15.625,-13.062
0.010,0.036,0.824,6.226,30.396,24.902
-0.013,-0.021,0.936,13.428,45.349,33.813
-0.011,-0.065,1.148,26.672,48.950,26.855
-0.006,-0.062,1.202,22.705,17.639,10.437
-0.016,-0.044,1.174,16.785,1.099,4.150
-0.031,-0.016,1.112,5.371,-19.348,-3.296
-0.063,0.049,0.973,3.174,-20.813,-5.066
-0.064,0.067,0.920,6.714,-12.207,-6.531
-0.055,0.055,0.906,11.047,-6.287,-6.470
-0.047,0.036,0.944,18.677,2.014,-5.005
-0.040,-0.006,1.033,20.020,2.808,-3.418
-0.041,-0.015,1.053,18.372,4.272,-2.319
-0.027,-0.005,1.024,17.944,4.517,-3.967
-0.026,0.001,0.998,22.949,-3.601,-9.155
-0.047,-0.015,1.002,25.208,-6.714,-9.949
-0.055,-0.019,1.011,22.705,2.686,-7.874
-0.040,-0.042,1.015,19.775,8.545,-6.714
-0.039,-0.050,1.017,14.709,11.292,-4.883
-0.045,-0.063,1.022,13.123,11.963,-5.432
-0.033,-0.055,1.021,9.583,12.390,-7.935
-0.003,-0.036,1.003,9.644,9.155,-8.850
0.000,-0.034,0.997,10.864,2.441,-7.629
0.009,-0.031,0.998,9.888,3.784,-5.615
0.014,-0.027,1.004,7.019,8.301,-1.343
0.002,-0.032,1.031,7.263,7.812,-0.305
-0.015,-0.056,1.047,8.301,0.977,-1.831
-0.026,-0.081,1.040,5.737,-1.221,-2.441
-0.011,-0.068,1.011,-0.244,-0.061,-1.587
0.016,-0.050,0.983,-0.671,0.122,-0.854
0.009,-0.042,1.018,0.854,-2.625,-0.122
0.009,-0.041,1.027,1.648,-6.287,-0.122
0.007,-0.040,1.014,1.404,-8.240,0.793
-0.004,-0.043,1.006,0.610,-9.155,3.784
-0.023,-0.054,0.997,0.244,-8.240,5.066
-0.033,-0.059,0.995,1.404,-6.958,4.150
-0.045,-0.058,1.005,2.319,-7.263,2.502
-0.052,-0.055,1.013,2.075,-5.493,0.549
-0.043,-0.052,1.017,0.488,-2.319,0.305
-0.031,-0.055,1.009,-1.648,2.014,-0.061
-0.004,-0.057,1.008,-1.709,1.526,-0.244
0.004,-0.052,1.006,-1.587,-2.319,1.038
-0.004,-0.041,0.989,-0.732,-3.967,1.953
-0.038,-0.057,1.012,1.221,-5.615,3.784
-0.057,-0.071,1.014,-0.244,-4.395,4.089
-0.064,-0.075,0.992,-1.038,-3.906,2.930
-0.059,-0.068,0.984,-0.122,-4.028,0.061
-0.041,-0.053,1.006,0.366,-2.808,-0.916
-0.026,-0.048,1.022,-0.427,-0.732,-0.977
-0.014,-0.033,1.024,-1.587,-0.732,0.061
-0.031,-0.031,1.014,-2.747,-0.122,2.930
-0.053,-0.048,1.006,-2.380,0.488,3.784
-0.073,-0.078,0.989,-1.892,4.211,1.404
-0.058,-0.079,0.988,-1.648,4.944,-2.930
-0.023,-0.070,0.996,-1.953,3.662,-3.601
-0.009,-0.054,0.995,-3.418,3.174,-2.502
0.001,-0.027,0.994,-2.625,1.770,-1.770
-0.003,-0.027,1.007,0.061,-1.404,-1.343
-0.008,-0.027,1.023,0.000,-0.671,-0.732
-0.019,-0.030,1.010,0.183,-1.343,1.099
-0.050,-0.046,0.992,1.099,-2.747,0.977
-0.039,-0.043,1.017,1.770,-4.395,-0.427
-0.035,-0.042,1.016,0.610,-5.066,-0.610
-0.013,-0.038,0.999,-0.244,-3.357,-0.488
-0.000,-0.036,0.998,-0.183,-2.869,1.282

-0.094,-0.717,2.025,-62.561,0.549,7.690
-0.031,-0.714,2.271,-113.098,-18.860,-3.662
0.002,-0.598,2.237,-141.235,-21.179,-1.465
0.026,-0.497,1.884,-212.524,-13.306,8.240
0.037,-0.443,1.675,-246.033,-13.367,12.451
0.085,-0.267,1.337,-281.799,-31.311,16.968
0.101,-0.178,1.194,-296.204,-74.036,16.113
0.089,-0.136,0.956,-298.096,-96.924,13.062
0.073,-0.161,0.878,-300.415,-125.488,3.601
0.045,-0.131,0.726,-308.777,-125.000,0.610
0.043,-0.082,0.606,-333.191,-99.915,3.540
0.002,-0.001,0.321,-337.830,-85.937,8.972
-0.072,0.027,0.193,-331.299,-64.209,16.052
-0.177,0.158,-0.078,-326.416,-51.270,13.489
-0.208,0.232,-0.249,-314.087,-35.217,-1.404
-0.318,0.377,-0.666,-307.190,-26.733,-11.414
-0.351,0.554,-1.159,-283.386,24.414,-32.104
-0.344,0.644,-1.356,-239.502,50.598,-31.677
-0.379,0.936,-1.588,-209.778,38.269,-18.799
-0.443,1.047,-1.617,-121.460,6.958,4.150
-0.548,1.061,-1.396,-64.514,6.470,7.568
-0.553,0.945,-1.131,40.955,34.912,-0.244
-0.422,0.794,-0.518,72.876,49.377,-5.005
-0.317,0.807,-0.259,106.323,46.204,-12.390
-0.178,0.849,0.078,114.441,29.358,-12.817
-0.167,0.862,0.129,114.075,-8.606,-8.362
-0.210,0.876,0.022,112.549,-25.146,-5.981
-0.294,0.878,-0.092,121.765,-59.387,-4.517
-0.321,0.887,-0.097,127.869,-68.787,-5.798
-0.289,0.934,-0.061,134.827,-52.490,-8.179
-0.280,0.951,-0.038,144.287,-19.531,-1.953
-0.275,0.917,0.056,152.100,-1.099,3.784
-0.233,0.877,0.135,158.020,32.166,12.451
-0.182,0.774,0.245,152.893,37.537,16.174
-0.194,0.717,0.234,141.968,29.480,22.278
-0.265,0.559,0.151,142.395,24.109,22.278
-0.315,0.477,0.120,160.278,20.996,11.963
-0.333,0.358,0.216,174.927,31.921,3.418
-0.276,0.332,0.340,203.735,76.660,-4.150
-0.141,0.283,0.645,215.393,93.140,-3.113
-0.104,0.245,0.773,224.182,96.558,-4.395
-0.010,0.109,0.955,221.436,89.233,-8.911
0.023,0.019,1.038,221.191,61.340,-15.747
-0.013,-0.183,1.241,221.741,46.570,-17.395
-0.006,-0.244,1.400,216.980,43.335,-23.743
0.065,-0.206,1.724,209.473,42.480,-26.550
0.068,-0.150,1.766,164.001,15.381,-27.527
0.039,-0.066,1.541,133.118,-1.587,-27.100
0.023,-0.019,1.353,88.562,-13.428,-21.301
0.011,0.087,1.039,80.994,-1.526,-16.724
0.008,0.087,0.968,89.966,43.884,-2.563
-0.054,-0.033,1.133,106.079,74.341,7.507
-0.050,-0.154,1.424,169.678,158.936,17.883
0.104,-0.117,2.313,204.712,186.951,9.094
0.163,-0.059,2.599,110.046,81.238,-30.396
-0.017,-0.268,1.927,18.921,-6.104,-35.095
-0.041,-0.053,1.174,-85.388,-79.041,-26.794
-0.059,0.300,0.539,-71.655,-84.900,-35.828
-0.069,0.260,0.487,1.587,-62.744,-40.100
-0.031,0.141,0.560,17.090,-32.104,-29.480
0.029,0.103,0.662,35.522,30.762,-2.258
0.079,0.025,0.954,47.668,39.551,5.981
0.050,-0.036,1.113,60.913,23.132,5.432
-0.018,-0.094,1.506,55.298,10.559,-3.174
-0.041,-0.127,1.471,19.714,-26.184,-19.592
-0.081,0.035,0.908,-1.404,-30.273,-16.907
-0.090,0.097,0.790,0.549,-12.207,-13.672
-0.075,0.067,0.858,12.146,-2.930,-13.916
-0.058,0.023,0.943,25.208,13.794,-13.733
-0.008,-0.046,1.139,25.024,16.174,-14.832
0.016,-0.068,1.163,10.437,5.981,-13.733
0.030,-0.022,1.036,-0.916,1.465,-8.911
0.021,0.020,0.982,-9.521,1.953,1.160
-0.012,0.030,0.967,-6.226,3.845,3.296
-0.026,0.024,0.985,2.075,3.052,2.625
-0.043,0.018,1.021,4.517,0.732,1.099
-0.038,0.019,1.028,3.418,-0.427,-0.916
-0.024,0.019,1.024,1.282,0.610,-0.793
-0.015,0.015,1.019,-3.174,4.883,-0.122
0.008,0.008,1.019,-4.517,5.188,0.916
0.012,0.007,1.012,-3.723,-1.404,3.601
0.002,-0.003,0.983,-1.587,-6.165,4.211
-0.020,-0.014,0.974,1.892,-8.057,3.662
-0.030,-0.007,0.987,1.953,-3.662,2.502
-0.022,0.006,1.011,0.549,0.122,3.540
-0.032,0.010,1.043,-1.038,-0.366,5.249
-0.023,0.013,1.028,-4.333,-0.366,5.554
-0.016,0.016,1.023,-4.761,-2.563,5.188
-0.040,0.013,0.998,-5.432,-5.005,6.226
-0.041,0.015,0.977,-5.432,-2.380,5.554
-0.033,0.022,0.979,-0.854,-2.625,3.601
-0.040,0.018,0.999,1.587,-5.981,4.150
-0.048,0.010,1.012,1.099,-4.822,5.432
-0.042,0.008,1.012,0.427,-2.930,2.747
-0.021,0.009,1.027,0.244,-4.944,2.075
-0.018,0.019,1.000,-1.770,-6.287,3.357
-0.024,0.021,0.982,0.305,-6.287,3.845
-0.040,0.014,0.995,1.709,-6.775,4.272
-0.044,0.015,1.007,0.916,-4.456,6.287
-0.046,0.007,1.010,0.671,-4.089,6.653
-0.049,0.005,1.009,0.549,-6.470,6.287
-0.039,0.008,1.008,0.061,-6.287,6.653
-0.036,0.009,1.006,-0.366,-6.592,8.362
-0.069,-0.002,0.984,-0.061,-5.798,8.057
-0.074,0.000,0.978,0.916,-0.793,4.028
-0.055,0.016,0.998,2.014,-0.671,2.869
-0.057,0.016,1.010,3.418,-3.784,3.540
-0.063,0.012,1.007,3.052,-3.296,3.479
-0.044,0.010,1.000,2.991,-1.892,2.136
-0.047,0.004,1.009,3.235,-3.418,2.563
-0.059,0.001,1.017,1.831,-1.221,3.174
-0.062,0.004,1.008,-0.366,3.113,2.930
-0.072,0.005,0.991,-0.061,3.296,1.953
-0.073,0.007,0.990,1.282,3.845,-0.488
-0.058,0.013,0.996,2.014,3.357,-1.221
-0.052,0.009,0.998,3.967,0.732,-1.770
-0.047,-0.001,0.996,4.883,0.427,-2.014
-0.040,-0.002,0.998,5.432,1.404,-1.648
-0.032,0.001,1.001,5.127,1.526,-0.427

0.096,-0.652,2.355,-40.771,-3.113,-20.691
0.157,-0.667,2.497,-109.131,5.005,0.061
0.192,-0.644,2.368,-155.212,6.653,15.076
0.166,-0.598,2.177,-225.525,-2.380,33.875
0.147,-0.453,1.792,-246.033,-13.184,35.156
0.116,-0.331,1.455,-272.583,-45.044,31.311
0.095,-0.289,1.276,-297.729,-73.669,32.349
0.054,-0.228,0.890,-312.256,-85.571,34.302
0.026,-0.199,0.706,-327.637,-99.731,37.354
-0.015,-0.081,0.405,-327.026,-101.562,35.706
0.017,0.067,0.204,-318.726,-106.079,20.935
0.030,0.120,0.120,-308.350,-111.389,12.085
-0.025,0.228,-0.031,-288.086,-109.131,1.831
-0.042,0.304,-0.099,-282.959,-90.332,2.441
-0.082,0.473,-0.182,-270.142,-39.063,10.681
-0.119,0.552,-0.236,-258.850,-23.560,11.902
-0.157,0.607,-0.331,-234.924,-8.972,-0.732
-0.243,0.681,-0.666,-230.469,-0.549,-8.240
-0.296,0.749,-0.878,-218.689,17.944,-10.986
-0.465,0.940,-1.306,-200.195,19.043,-5.859
-0.572,1.152,-1.790,-119.812,-7.874,-2.014
-0.627,1.032,-1.726,11.597,-61.157,-16.602
-0.574,0.858,-1.299,45.288,-37.415,-13.245
-0.444,0.993,-1.152,77.759,24.292,-8.606
-0.230,1.026,-0.902,110.535,27.405,-9.888
-0.230,0.947,-0.774,167.541,-2.319,-1.282
-0.383,0.782,-0.542,186.951,-10.864,7.629
-0.438,0.721,-0.402,223.755,6.470,17.212
-0.386,0.649,-0.018,237.427,21.118,11.597
-0.308,0.642,0.170,238.159,38.391,-5.188
-0.175,0.573,0.347,225.525,39.368,-7.690
-0.134,0.496,0.353,202.698,42.297,2.869
-0.111,0.320,0.405,207.947,45.532,11.230
-0.140,0.257,0.488,243.896,48.706,19.165
-0.185,0.170,0.690,256.042,57.068,16.479
-0.165,0.110,0.796,258.301,94.727,1.099
-0.001,-0.048,1.069,256.165,108.643,-8.667
0.063,-0.142,1.232,256.714,92.773,-17.456
0.080,-0.213,1.444,247.131,72.510,-14.832
0.071,-0.173,1.452,201.843,39.734,-8.972
0.017,-0.126,1.293,175.110,29.663,-6.653
0.028,-0.145,1.220,147.400,31.006,-0.793
0.051,-0.201,1.218,149.170,37.415,0.122
0.065,-0.199,1.289,162.292,48.950,0.305
0.062,-0.139,1.436,156.982,49.988,-0.671
0.066,-0.087,1.464,116.638,42.175,-1.770
0.050,-0.075,1.375,96.497,33.691,-0.977
0.050,-0.137,1.374,92.529,38.513,7.324
0.080,-0.247,1.914,121.887,61.218,15.808
0.144,-0.160,2.302,169.373,109.985,16.663
0.164,-0.043,2.164,91.858,65.186,7.019
0.042,-0.105,1.711,-69.824,-59.143,11.536
-0.114,0.106,0.907,-79.285,-88.501,7.202
-0.193,0.215,0.571,-43.884,-106.323,-18.860
-0.176,0.204,0.534,-0.732,-62.683,-19.226
-0.083,0.096,0.622,11.353,-31.128,-9.094
-0.029,0.039,0.732,29.236,18.738,13.367
0.006,-0.068,0.989,35.889,26.855,20.264
-0.013,-0.120,1.093,36.499,20.447,18.005
-0.018,-0.131,1.211,29.541,14.526,11.597
-0.023,-0.092,1.211,10.620,-5.371,2.380
-0.074,-0.010,1.082,2.930,-14.160,0.366
-0.097,0.018,0.995,-1.953,-18.372,-2.441
-0.132,0.048,0.893,0.977,-16.724,-4.028
-0.139,0.057,0.895,9.460,-8.911,-5.798
-0.140,0.046,0.957,12.085,-1.892,-5.493
-0.127,0.029,0.997,12.024,10.864,-4.150
-0.107,0.016,1.060,10.071,12.512,-3.479
-0.110,0.013,1.067,5.737,8.240,-5.005
-0.104,0.016,1.064,3.906,5.005,-6.897
-0.083,0.020,1.042,1.160,-0.854,-9.583
-0.071,0.014,1.024,0.122,-2.075,-9.827
-0.062,0.011,0.995,-1.343,-4.883,-7.629
-0.067,0.007,0.990,-1.038,-6.775,-6.165
-0.061,-0.003,1.003,0.366,-6.470,-5.188
-0.051,-0.004,1.020,-0.244,-6.287,-3.906
-0.045,-0.013,1.027,-1.709,-7.202,-2.197
-0.055,-0.012,1.017,-5.127,-8.606,1.404
-0.080,0.008,0.996,-6.165,-7.507,2.869
-0.087,0.011,0.997,-5.859,-3.845,4.883
-0.107,0.002,1.013,-5.493,-2.808,4.944
-0.106,0.008,1.011,-6.348,0.061,2.625
-0.100,0.012,1.006,-7.324,0.916,1.038
-0.085,0.011,0.999,-7.874,0.427,1.099
-0.079,0.015,0.991,-6.775,-2.258,1.282
-0.094,0.021,0.977,-5.310,-3.113,0.854
-0.109,0.029,0.974,-2.502,-0.671,-0.549
-0.127,0.032,0.993,-1.526,1.770,-1.465
-0.122,0.026,1.014,-1.770,5.249,-3.540
-0.101,0.015,1.022,-2.747,4.211,-4.089
-0.098,0.018,1.006,-3.845,1.404,-4.456
-0.095,0.022,0.990,-3.967,2.502,-4.517
-0.093,0.017,0.992,-3.723,7.935,-5.127
-0.079,0.010,1.005,-3.967,10.132,-5.798
-0.067,0.032,1.011,-4.761,9.460,-5.615
-0.072,0.037,1.001,-3.174,3.906,-4.395
-0.090,0.042,0.987,-1.709,2.075,-4.883
-0.087,0.043,0.991,0.488,1.648,-7.141
-0.056,0.043,1.000,1.160,0.610,-7.202
-0.046,0.037,0.999,1.770,-1.465,-6.287
-0.040,0.031,1.003,2.319,-4.822,-3.906
-0.041,0.028,1.006,2.441,-5.737,-2.869
-0.072,0.016,1.016,3.235,-7.263,-0.549
-0.094,0.022,1.019,3.235,-6.897,-0.122
-0.117,0.035,1.006,1.831,-0.671,-0.793
-0.117,0.023,0.997,0.061,8.850,-1.770
-0.096,0.001,1.004,-1.038,12.390,-2.014
-0.081,0.002,1.007,-1.343,11.902,-2.563
-0.067,0.016,1.005,-0.549,9.155,-2.869
-0.074,0.020,1.003,0.549,4.517,-1.648
-0.096,0.014,0.998,0.122,4.700,-1.282
-0.089,0.008,0.992,-1.465,10.010,-4.639
-0.036,0.017,0.990,-0.977,10.925,-7.019
-0.016,0.024,1.003,1.709,5.615,-8.118
-0.012,0.041,1.023,1.770,2.808,-6.897
-0.017,0.053,1.014,-0.244,0.549,-3.540
-0.047,0.058,0.992,-0.122,-0.122,-2.197
-0.067,0.052,1.001,1.221,-1.892,-0.610
-0.087,0.045,1.009,0.854,-3.174,0.183

0.175,-0.678,2.571,-48.035,30.212,13.916
0.169,-0.730,2.428,-139.221,-34.912,2.991
